conflict_id,agency_item_code,agency_item_id,conflict_type,catalog_description,catalog_unit,annual_description_variants,annual_unit_variants,affected_report_count,affected_source_ids,resolution_status,notes
ne_ndot_identity_conflict_4054.71,4054.71,ne_ndot_4054.71,unit,TEMPORARY SHORING,LUMP SUM,TEMPORARY SHORING,SF,3,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_july_june_2018_2019,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_4054.72,4054.72,ne_ndot_4054.72,unit,TEMPORARY SHORING,LUMP SUM,TEMPORARY SHORING,SF,3,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_july_june_2018_2019,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_4054.73,4054.73,ne_ndot_4054.73,unit,TEMPORARY SHORING,LUMP SUM,TEMPORARY SHORING,SF,2,ne_ndot_aup_calendar_2018 | ne_ndot_aup_july_june_2018_2019,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_4054.74,4054.74,ne_ndot_4054.74,unit,TEMPORARY SHORING,LUMP SUM,TEMPORARY SHORING,SF,2,ne_ndot_aup_calendar_2018 | ne_ndot_aup_july_june_2018_2019,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_4054.75,4054.75,ne_ndot_4054.75,unit,TEMPORARY SHORING,LUMP SUM,TEMPORARY SHORING,SF,2,ne_ndot_aup_calendar_2018 | ne_ndot_aup_july_june_2018_2019,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_4095.06,4095.06,ne_ndot_4095.06,unit,,,WELDED WIRE MSE WALL AT STA,LS | SF,3,ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2017_2018 | ne_ndot_aup_july_june_2024_2025,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_4095.50,4095.50,ne_ndot_4095.50,unit,SHORING FOR MECHANICALLY STABILIZED EARTH STRUCTURES,LUMP SUM,SHORING FOR MECHANICALLY STABILIZED EARTH STRUCTURES,SF,2,ne_ndot_aup_calendar_2019 | ne_ndot_aup_july_june_2019_2020,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_4320.80,4320.80,ne_ndot_4320.80,unit,,,"48"" ROUND EQUIVALENT METAL FLARED-END SECTION",EACH | LF,9,ne_ndot_aup_calendar_2020 | ne_ndot_aup_calendar_2021 | ne_ndot_aup_calendar_2022 | ne_ndot_aup_calendar_2024 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2020_2021 | ne_ndot_aup_july_june_2021_2022 | ne_ndot_aup_july_june_2024_2025 | ne_ndot_aup_july_june_2025_2026,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_6000.10,6000.10,ne_ndot_6000.10,unit,ABUTMENT NO.1 EXCAVATION,LUMP SUM,ABUTMENT NO.1 EXCAVATION,CY | LS,17,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2020 | ne_ndot_aup_calendar_2021 | ne_ndot_aup_calendar_2022 | ne_ndot_aup_calendar_2023 | ne_ndot_aup_calendar_2024 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2017_2018 | ne_ndot_aup_july_june_2018_2019 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2020_2021 | ne_ndot_aup_july_june_2021_2022 | ne_ndot_aup_july_june_2022_2023 | ne_ndot_aup_july_june_2023_2024 | ne_ndot_aup_july_june_2024_2025 | ne_ndot_aup_july_june_2025_2026,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_6000.11,6000.11,ne_ndot_6000.11,unit,ABUTMENT NO.2 EXCAVATION,LUMP SUM,ABUTMENT NO.2 EXCAVATION,CY | LS,17,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2020 | ne_ndot_aup_calendar_2021 | ne_ndot_aup_calendar_2022 | ne_ndot_aup_calendar_2023 | ne_ndot_aup_calendar_2024 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2017_2018 | ne_ndot_aup_july_june_2018_2019 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2020_2021 | ne_ndot_aup_july_june_2021_2022 | ne_ndot_aup_july_june_2022_2023 | ne_ndot_aup_july_june_2023_2024 | ne_ndot_aup_july_june_2024_2025 | ne_ndot_aup_july_june_2025_2026,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_6000.20,6000.20,ne_ndot_6000.20,unit,PIER NO.1 EXCAVATION,LUMP SUM,PIER NO.1 EXCAVATION,CY | LS,15,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2020 | ne_ndot_aup_calendar_2021 | ne_ndot_aup_calendar_2023 | ne_ndot_aup_calendar_2024 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2017_2018 | ne_ndot_aup_july_june_2018_2019 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2020_2021 | ne_ndot_aup_july_june_2021_2022 | ne_ndot_aup_july_june_2023_2024 | ne_ndot_aup_july_june_2024_2025 | ne_ndot_aup_july_june_2025_2026,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_6000.21,6000.21,ne_ndot_6000.21,unit,PIER NO.2 EXCAVATION,LUMP SUM,PIER NO.2 EXCAVATION,CY | LS,14,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2020 | ne_ndot_aup_calendar_2021 | ne_ndot_aup_calendar_2024 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2017_2018 | ne_ndot_aup_july_june_2018_2019 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2020_2021 | ne_ndot_aup_july_june_2021_2022 | ne_ndot_aup_july_june_2023_2024 | ne_ndot_aup_july_june_2024_2025 | ne_ndot_aup_july_june_2025_2026,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_6000.22,6000.22,ne_ndot_6000.22,unit,PIER NO.3 EXCAVATION,LUMP SUM,PIER NO.3 EXCAVATION,CY | LS,10,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2020 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2017_2018 | ne_ndot_aup_july_june_2018_2019 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2020_2021 | ne_ndot_aup_july_june_2024_2025 | ne_ndot_aup_july_june_2025_2026,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_6000.23,6000.23,ne_ndot_6000.23,unit,PIER NO.4 EXCAVATION,LUMP SUM,PIER NO.4 EXCAVATION,CY,10,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2020 | ne_ndot_aup_calendar_2021 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2018_2019 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2020_2021 | ne_ndot_aup_july_june_2024_2025 | ne_ndot_aup_july_june_2025_2026,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_6000.24,6000.24,ne_ndot_6000.24,unit,PIER NO.5 EXCAVATION,LUMP SUM,PIER NO.5 EXCAVATION,CY,10,ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2020 | ne_ndot_aup_calendar_2021 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2018_2019 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2020_2021 | ne_ndot_aup_july_june_2021_2022 | ne_ndot_aup_july_june_2024_2025 | ne_ndot_aup_july_june_2025_2026,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_6000.25,6000.25,ne_ndot_6000.25,unit,PIER NO.6 EXCAVATION,LUMP SUM,PIER NO.6 EXCAVATION,CY,8,ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2020 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2018_2019 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2020_2021 | ne_ndot_aup_july_june_2024_2025 | ne_ndot_aup_july_june_2025_2026,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_6000.26,6000.26,ne_ndot_6000.26,unit,PIER NO.7 EXCAVATION,LUMP SUM,PIER NO.7 EXCAVATION,CY,5,ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2024_2025 | ne_ndot_aup_july_june_2025_2026,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_6000.27,6000.27,ne_ndot_6000.27,unit,PIER NO.8 EXCAVATION,LUMP SUM,PIER NO.8 EXCAVATION,CY,4,ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2024_2025,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_6000.28,6000.28,ne_ndot_6000.28,unit,PIER NO.9 EXCAVATION,LUMP SUM,PIER NO.9 EXCAVATION,CY,2,ne_ndot_aup_calendar_2019 | ne_ndot_aup_july_june_2019_2020,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_6000.60,6000.60,ne_ndot_6000.60,unit,PIER NO.1 EXCAVATION,LUMP SUM,PIER NO.1 EXCAVATION,CY | LS,10,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2022 | ne_ndot_aup_calendar_2023 | ne_ndot_aup_calendar_2024 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2017_2018 | ne_ndot_aup_july_june_2018_2019 | ne_ndot_aup_july_june_2022_2023 | ne_ndot_aup_july_june_2023_2024 | ne_ndot_aup_july_june_2025_2026,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_6000.61,6000.61,ne_ndot_6000.61,unit,PIER NO.2 EXCAVATION,LUMP SUM,PIER NO.2 EXCAVATION,CY | LS,10,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2022 | ne_ndot_aup_calendar_2023 | ne_ndot_aup_calendar_2024 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2017_2018 | ne_ndot_aup_july_june_2018_2019 | ne_ndot_aup_july_june_2022_2023 | ne_ndot_aup_july_june_2024_2025 | ne_ndot_aup_july_june_2025_2026,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_6000.62,6000.62,ne_ndot_6000.62,unit,PIER NO.3 EXCAVATION,LUMP SUM,PIER NO.3 EXCAVATION,CY,4,ne_ndot_aup_calendar_2024 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2024_2025 | ne_ndot_aup_july_june_2025_2026,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_6000.63,6000.63,ne_ndot_6000.63,unit,PIER NO.4 EXCAVATION,LUMP SUM,PIER NO.4 EXCAVATION,CY,2,ne_ndot_aup_calendar_2024 | ne_ndot_aup_july_june_2024_2025,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_6000.64,6000.64,ne_ndot_6000.64,unit,PIER NO.5 EXCAVATION,LUMP SUM,PIER NO.5 EXCAVATION,CY,2,ne_ndot_aup_calendar_2024 | ne_ndot_aup_july_june_2024_2025,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_6000.65,6000.65,ne_ndot_6000.65,unit,PIER NO.6 EXCAVATION,LUMP SUM,PIER NO.6 EXCAVATION,CY,2,ne_ndot_aup_calendar_2024 | ne_ndot_aup_july_june_2024_2025,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_6001.00,6001.00,ne_ndot_6001.00,unit,BENT NO.1 EXCAVATION,LUMP SUM,BENT NO.1 EXCAVATION,CY | LS,17,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2020 | ne_ndot_aup_calendar_2021 | ne_ndot_aup_calendar_2022 | ne_ndot_aup_calendar_2023 | ne_ndot_aup_calendar_2024 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2017_2018 | ne_ndot_aup_july_june_2018_2019 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2020_2021 | ne_ndot_aup_july_june_2021_2022 | ne_ndot_aup_july_june_2022_2023 | ne_ndot_aup_july_june_2023_2024 | ne_ndot_aup_july_june_2024_2025 | ne_ndot_aup_july_june_2025_2026,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_6001.01,6001.01,ne_ndot_6001.01,unit,BENT NO.2 EXCAVATION,LUMP SUM,BENT NO.2 EXCAVATION,CY | LS,17,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2020 | ne_ndot_aup_calendar_2021 | ne_ndot_aup_calendar_2022 | ne_ndot_aup_calendar_2023 | ne_ndot_aup_calendar_2024 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2017_2018 | ne_ndot_aup_july_june_2018_2019 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2020_2021 | ne_ndot_aup_july_june_2021_2022 | ne_ndot_aup_july_june_2022_2023 | ne_ndot_aup_july_june_2023_2024 | ne_ndot_aup_july_june_2024_2025 | ne_ndot_aup_july_june_2025_2026,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_6001.02,6001.02,ne_ndot_6001.02,unit,BENT NO.3 EXCAVATION,LUMP SUM,BENT NO.3 EXCAVATION,CY,9,ne_ndot_aup_calendar_2020 | ne_ndot_aup_calendar_2021 | ne_ndot_aup_calendar_2023 | ne_ndot_aup_calendar_2024 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2020_2021 | ne_ndot_aup_july_june_2021_2022 | ne_ndot_aup_july_june_2023_2024 | ne_ndot_aup_july_june_2024_2025,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_6001.03,6001.03,ne_ndot_6001.03,unit,BENT NO.4 EXCAVATION,LUMP SUM,BENT NO.4 EXCAVATION,CY,2,ne_ndot_aup_calendar_2020 | ne_ndot_aup_july_june_2019_2020,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_6001.04,6001.04,ne_ndot_6001.04,unit,BENT NO.5 EXCAVATION,LUMP SUM,BENT NO.5 EXCAVATION,CY,2,ne_ndot_aup_calendar_2024 | ne_ndot_aup_july_june_2024_2025,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_6001.50,6001.50,ne_ndot_6001.50,unit,BENT NO.1 EXCAVATION,LUMP SUM,BENT NO.1 EXCAVATION,CY | LS,8,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2024 | ne_ndot_aup_july_june_2017_2018 | ne_ndot_aup_july_june_2018_2019 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2023_2024 | ne_ndot_aup_july_june_2024_2025,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_6001.51,6001.51,ne_ndot_6001.51,unit,BENT NO.2 EXCAVATION,LUMP SUM,BENT NO.2 EXCAVATION,CY | LS,15,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2020 | ne_ndot_aup_calendar_2021 | ne_ndot_aup_calendar_2023 | ne_ndot_aup_calendar_2024 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2017_2018 | ne_ndot_aup_july_june_2018_2019 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2020_2021 | ne_ndot_aup_july_june_2021_2022 | ne_ndot_aup_july_june_2023_2024 | ne_ndot_aup_july_june_2024_2025 | ne_ndot_aup_july_june_2025_2026,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_6001.52,6001.52,ne_ndot_6001.52,unit,BENT NO.3 EXCAVATION,LUMP SUM,BENT NO.3 EXCAVATION,CY,6,ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2020 | ne_ndot_aup_calendar_2024 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2020_2021 | ne_ndot_aup_july_june_2023_2024,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_6001.53,6001.53,ne_ndot_6001.53,unit,BENT NO.4 EXCAVATION,LUMP SUM,BENT NO.4 EXCAVATION,CY,8,ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2020 | ne_ndot_aup_calendar_2021 | ne_ndot_aup_calendar_2024 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2020_2021 | ne_ndot_aup_july_june_2021_2022 | ne_ndot_aup_july_june_2024_2025,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_6001.54,6001.54,ne_ndot_6001.54,unit,BENT NO.5 EXCAVATION,LUMP SUM,BENT NO.5 EXCAVATION,CY,2,ne_ndot_aup_calendar_2020 | ne_ndot_aup_july_june_2020_2021,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_6001.55,6001.55,ne_ndot_6001.55,unit,BENT NO.6 EXCAVATION,LUMP SUM,BENT NO.6 EXCAVATION,CY,4,ne_ndot_aup_calendar_2020 | ne_ndot_aup_calendar_2021 | ne_ndot_aup_july_june_2020_2021 | ne_ndot_aup_july_june_2021_2022,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_6001.56,6001.56,ne_ndot_6001.56,unit,BENT NO.7 EXCAVATION,LUMP SUM,BENT NO.7 EXCAVATION,CY,2,ne_ndot_aup_calendar_2021 | ne_ndot_aup_july_june_2021_2022,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_6001.57,6001.57,ne_ndot_6001.57,unit,BENT NO.8 EXCAVATION,LUMP SUM,BENT NO.8 EXCAVATION,CY,4,ne_ndot_aup_calendar_2020 | ne_ndot_aup_calendar_2021 | ne_ndot_aup_july_june_2020_2021 | ne_ndot_aup_july_june_2021_2022,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
ne_ndot_identity_conflict_6001.58,6001.58,ne_ndot_6001.58,unit,BENT NO.9 EXCAVATION,LUMP SUM,BENT NO.9 EXCAVATION,CY,2,ne_ndot_aup_calendar_2021 | ne_ndot_aup_july_june_2021_2022,needs_review,"Do not merge incompatible meanings or units automatically. Review source period, catalog authority, and any effective-date evidence before enabling Nebraska."
